"Date","Price","Open","High","Low","Vol.","Change %"
"02/28/2023","15,429.0","15,492.9","15,518.8","15,427.2","","-0.41%"
"02/27/2023","15,492.9","15,464.5","15,623.2","15,462.8","","0.18%"
"02/24/2023","15,464.5","15,584.9","15,584.9","15,347.3","","-0.77%"
"02/23/2023","15,584.9","15,530.8","15,655.0","15,446.1","","0.35%"
"02/22/2023","15,530.8","15,572.5","15,623.2","15,490.2","","-0.27%"
"02/21/2023","15,572.5","15,840.2","15,840.2","15,551.9","","-1.69%"
"02/17/2023","15,840.2","15,873.8","15,873.8","15,732.8","","-0.21%"
"02/16/2023","15,873.8","16,016.1","16,016.1","15,829.7","","-0.89%"
"02/15/2023","16,016.1","16,025.1","16,025.1","15,875.4","","-0.06%"
"02/14/2023","16,025.1","16,052.3","16,131.8","15,918.0","","-0.17%"
"02/13/2023","16,052.2","15,910.7","16,052.9","15,908.9","","0.89%"
"02/10/2023","15,910.7","15,828.6","15,923.0","15,787.3","","0.52%"
"02/09/2023","15,828.6","15,934.7","16,077.0","15,796.5","","-0.67%"
"02/08/2023","15,934.7","16,021.6","16,026.5","15,916.7","","-0.54%"
"02/07/2023","16,021.6","15,895.4","16,056.4","15,800.6","","0.79%"
"02/06/2023","15,895.4","15,999.4","15,999.4","15,814.5","","-0.65%"
"02/03/2023","15,999.4","16,122.6","16,122.6","15,953.5","","-0.76%"
"02/02/2023","16,122.6","16,121.2","16,178.6","16,035.5","","0.01%"
"02/01/2023","16,121.2","16,036.4","16,222.2","15,871.1","","0.53%"
"01/31/2023","16,036.4","15,818.9","16,037.0","15,809.7","","1.37%"
"01/30/2023","15,818.9","15,962.6","15,974.4","15,813.2","","-0.90%"
"01/27/2023","15,962.6","15,985.9","16,032.1","15,901.2","","-0.15%"
"01/26/2023","15,985.9","15,889.3","15,988.3","15,840.8","","0.61%"
"01/25/2023","15,889.3","15,868.2","15,893.3","15,681.8","","0.13%"
"01/24/2023","15,868.2","15,880.1","15,892.7","15,752.5","","-0.07%"
"01/23/2023","15,880.1","15,777.5","15,940.9","15,756.8","","0.65%"
"01/20/2023","15,777.5","15,569.6","15,777.5","15,538.2","","1.34%"
"01/19/2023","15,569.6","15,649.1","15,649.1","15,504.1","","-0.51%"
"01/18/2023","15,649.1","15,883.6","15,965.3","15,644.5","","-1.48%"
"01/17/2023","15,883.6","15,918.4","15,973.3","15,871.3","","-0.22%"
"01/13/2023","15,918.4","15,859.5","15,940.6","15,749.9","","0.37%"
"01/12/2023","15,859.5","15,749.1","15,911.0","15,692.5","","0.70%"
"01/11/2023","15,749.1","15,608.2","15,750.5","15,608.2","","0.90%"
"01/10/2023","15,608.2","15,514.4","15,614.6","15,464.2","","0.60%"
"01/09/2023","15,514.4","15,539.7","15,703.0","15,508.0","","-0.16%"
"01/06/2023","15,539.7","15,225.4","15,568.9","15,225.4","","2.06%"
"01/05/2023","15,225.4","15,350.3","15,350.3","15,168.7","","-0.81%"
"01/04/2023","15,350.3","15,154.5","15,407.6","15,154.5","","1.29%"
"01/03/2023","15,154.5","15,184.3","15,327.5","15,053.2","","-0.20%"
"12/30/2022","15,184.3","15,241.2","15,241.2","15,069.4","","-0.37%"
"12/29/2022","15,241.2","15,037.3","15,269.1","15,037.3","","1.36%"
"12/28/2022","15,037.3","15,218.3","15,268.7","15,033.5","","-1.19%"
"12/27/2022","15,218.3","15,188.5","15,255.3","15,142.4","","0.20%"
"12/23/2022","15,188.5","15,081.5","15,188.6","15,025.7","","0.71%"
"12/22/2022","15,081.5","15,219.5","15,219.5","14,871.2","","-0.91%"
"12/21/2022","15,219.5","15,000.6","15,250.9","15,000.6","","1.46%"
"12/20/2022","15,000.6","14,938.0","15,056.6","14,922.7","","0.42%"
"12/19/2022","14,938.0","15,018.2","15,066.3","14,866.8","","-0.53%"
"12/16/2022","15,018.2","15,182.3","15,182.3","14,920.2","","-1.08%"
"12/15/2022","15,182.3","15,495.0","15,495.0","15,121.0","","-2.02%"
"12/14/2022","15,495.0","15,562.5","15,667.8","15,407.6","","-0.43%"
"12/13/2022","15,562.5","15,468.7","15,819.2","15,468.7","","0.61%"
"12/12/2022","15,468.7","15,291.0","15,469.0","15,280.9","","1.16%"
"12/09/2022","15,291.0","15,399.9","15,439.2","15,287.8","","-0.71%"
"12/08/2022","15,399.9","15,311.8","15,452.8","15,311.8","","0.58%"
"12/07/2022","15,311.8","15,328.4","15,401.6","15,285.1","","-0.11%"
"12/06/2022","15,328.4","15,474.8","15,499.0","15,240.9","","-0.95%"
"12/05/2022","15,474.8","15,767.0","15,767.0","15,431.9","","-1.85%"
"12/02/2022","15,767.0","15,761.1","15,797.7","15,617.9","","0.04%"
"12/01/2022","15,761.1","15,780.0","15,854.1","15,691.3","","-0.12%"
"11/30/2022","15,780.0","15,433.5","15,780.0","15,361.8","","2.25%"
"11/29/2022","15,433.5","15,370.4","15,480.0","15,370.4","","0.41%"
"11/28/2022","15,370.4","15,605.7","15,605.7","15,350.1","","-1.51%"
"11/25/2022","15,605.7","15,545.5","15,625.7","15,545.5","","0.39%"
"11/23/2022","15,545.5","15,481.8","15,565.4","15,455.9","","0.41%"
"11/22/2022","15,481.8","15,278.3","15,486.5","15,278.3","","1.33%"
"11/21/2022","15,278.3","15,309.8","15,309.8","15,180.2","","-0.21%"
"11/18/2022","15,309.8","15,314.4","15,337.6","15,210.9","","0.56%"
"11/17/2022","15,224.0","15,090.1","15,228.5","15,071.2","","-0.27%"
"11/16/2022","15,265.2","15,381.0","15,381.0","15,249.0","","-0.75%"
"11/15/2022","15,381.0","15,445.1","15,485.5","15,260.9","","1.00%"
"11/14/2022","15,229.0","15,320.4","15,416.0","15,229.0","","-0.81%"
"11/11/2022","15,352.7","15,234.7","15,388.1","15,234.7","","0.77%"
"11/10/2022","15,234.7","14,587.8","15,241.9","14,587.8","","4.43%"
"11/09/2022","14,587.8","14,889.3","14,889.3","14,569.0","","-2.02%"
"11/08/2022","14,889.3","14,808.6","14,983.4","14,757.0","","0.54%"
"11/07/2022","14,808.6","14,702.8","14,833.9","14,688.5","","0.72%"
"11/04/2022","14,702.8","14,455.7","14,796.8","14,455.7","","1.71%"
"11/03/2022","14,455.7","14,497.9","14,531.9","14,297.1","","-0.29%"
"11/02/2022","14,497.9","14,790.7","14,929.4","14,496.3","","-1.98%"
"11/01/2022","14,790.7","14,747.0","14,921.5","14,725.1","","0.30%"
"10/31/2022","14,747.0","14,795.6","14,825.0","14,698.8","","-0.33%"
"10/28/2022","14,795.6","14,569.9","14,802.2","14,565.5","","1.55%"
"10/27/2022","14,569.9","14,531.7","14,726.1","14,531.7","","0.26%"
"10/26/2022","14,531.7","14,440.7","14,670.6","14,440.7","","0.63%"
"10/25/2022","14,440.7","14,226.1","14,454.1","14,226.1","","1.51%"
"10/24/2022","14,226.1","14,144.0","14,269.3","14,085.4","","0.58%"
"10/21/2022","14,144.0","13,840.5","14,161.6","13,779.5","","2.19%"
"10/20/2022","13,840.5","13,947.3","14,095.7","13,809.3","","-0.77%"
"10/19/2022","13,947.3","14,089.2","14,089.2","13,852.5","","-1.01%"
"10/18/2022","14,089.2","13,923.2","14,207.8","13,923.2","","1.19%"
